.1.3.6.1.4.1.9.12.3.1.9.55.17	cevModulecrs14OC192LRPlim
.1.3.6.1.4.1.9.12.3.1.9.55.16	cevModuleCrs14OC192SRPlim
.1.3.6.1.4.1.9.12.3.1.9.55.19	cevModuleCrs1OC768SRPlim
.1.3.6.1.4.1.9.12.3.1.9.55.18	cevModuleCrs1OC768VSRPlim
.1.3.6.1.4.1.9.12.3.1.9.55.23	cevModuleCrs18Fabric
.1.3.6.1.4.1.9.12.3.1.9.55.24	cevModuleCrs1FabricShelfController
.1.3.6.1.4.1.9.12.3.1.9.55.25	cevModuleCrs1FabricSwitchFabric
.1.3.6.1.4.1.9.12.3.1.9.55.26	cevModuleCrs1FabricLEDModule
.1.3.6.1.4.1.9.12.3.1.9.55.20	cevModuleCrs16x10GePlim
.1.3.6.1.4.1.9.12.3.1.9.55.21	cevModuleCrs18x10GePlim
.1.3.6.1.4.1.9.12.3.1.9.55.22	cevModuleCrs18RP
.1.3.6.1.4.1.9.12.3.1.10.199	cevPortGigBaseDwdm4214
.1.3.6.1.4.1.9.12.3.1.10.196	cevPortGigBaseDwdm3898
.1.3.6.1.4.1.9.12.3.1.10.195	cevPortGigBaseDwdm3819
.1.3.6.1.4.1.9.12.3.1.10.198	cevPortGigBaseDwdm4056
.1.3.6.1.4.1.9.12.3.1.10.197	cevPortGigBaseDwdm3977
.1.3.6.1.4.1.9.12.3.1.10.192	cevPortGigBaseDwdm3504
.1.3.6.1.4.1.9.12.3.1.10.191	cevPortGigBaseDwdm3425
.1.3.6.1.4.1.9.12.3.1.10.194	cevPortGigBaseDwdm3661
.1.3.6.1.4.1.9.12.3.1.10.193	cevPortGigBaseDwdm3582
.1.3.6.1.4.1.9.12.3.1.10.190	cevPortGigBaseDwdm3268
.1.3.6.1.4.1.9.12.3.1.9.55.14	cevModuleCrs116OC48Plim
.1.3.6.1.4.1.9.12.3.1.9.55.15	cevModuleCrs14OC192VSRPlim
.1.3.6.1.4.1.9.12.3.1.9.55.12	cevModuleCrs116mFabricLED
.1.3.6.1.4.1.9.12.3.1.9.55.13	cevModuleCrs1DRPPlim
.1.3.6.1.4.1.9.12.3.1.9.55.10	cevModuleCrs116mS2FanCtrllrFabric
.1.3.6.1.4.1.9.12.3.1.9.55.11	cevModuleCrs1Alarm
.1.3.6.1.4.1.9.12.3.1.10.188	cevPortGigBaseDwdm3112
.1.3.6.1.4.1.9.12.3.1.10.189	cevPortGigBaseDwdm3190
.1.3.6.1.4.1.9.12.3.1.10.183	cevPortGigBaseUnknown
.1.3.6.1.4.1.9.12.3.1.10.182	cevPort10GigBaseEW
.1.3.6.1.4.1.9.12.3.1.10.181	cevPort10GigBaseLW
.1.3.6.1.4.1.9.12.3.1.10.180	cevPortIntrusionDetect
.1.3.6.1.4.1.9.12.3.1.9.17.3	cevC6xxxNtcOc3mm
.1.3.6.1.4.1.9.12.3.1.10.187	cevPortGigBaseDwdm3033
.1.3.6.1.4.1.9.12.3.1.9.17.4	cevC6xxxNtcStm1si
.1.3.6.1.4.1.9.12.3.1.10.186	cevPortGigBaseWdmRxOnly
.1.3.6.1.4.1.9.12.3.1.9.17.1	cevC6xxxSlcCap8
.1.3.6.1.4.1.9.12.3.1.10.185	cevPort10GigBaseUnapproved
.1.3.6.1.4.1.9.12.3.1.9.17.2	cevC6xxxNtcOc3si
.1.3.6.1.4.1.9.12.3.1.10.184	cevPort10GigBaseUnknown
.1.3.6.1.4.1.9.12.3.1.10.177	cevPortDs3Atm
.1.3.6.1.4.1.9.12.3.1.10.178	cevPortNetworkAnalysis
.1.3.6.1.4.1.9.12.3.1.10.170	cevPortGigBaseCX
.1.3.6.1.4.1.9.12.3.1.10.172	cevPortGigBaseT
.1.3.6.1.4.1.9.12.3.1.10.171	cevPortGigBaseLH
.1.3.6.1.4.1.9.12.3.1.10.174	cevPortAtm25
.1.3.6.1.4.1.9.12.3.1.10.173	cevPortDslsar
.1.3.6.1.4.1.9.12.3.1.9.32.1	cevPos1oc12
.1.3.6.1.4.1.9.12.3.1.9.32.2	cevP6Ct3
.1.3.6.1.4.1.9.12.3.1.10.176	cevPortE3Atm
.1.3.6.1.4.1.9.12.3.1.10.175	cevPortAnalogFxs
.1.3.6.1.4.1.9.12.3.1.9.32.3	cevGe
.1.3.6.1.4.1.9.12.3.1.9.32.4	cevAtm1Oc12
.1.3.6.1.4.1.9.12.3.1.9.32.5	cevP1COc12
.1.3.6.1.4.1.9.12.3.1.9.32.6	cevP4Chstm1
.1.3.6.1.4.1.9.12.3.1.9.32.8	cev24feTx
.1.3.6.1.4.1.9.12.3.1.9.32.9	cev24feFxMm
.1.3.6.1.4.1.9.12.3.1.10.166	cevPort10GigBaseCPX
.1.3.6.1.4.1.9.12.3.1.9.17.6	cevC6xxxSlcDmt8
.1.3.6.1.4.1.9.12.3.1.10.167	cevPort10GigBaseLX4
.1.3.6.1.4.1.9.12.3.1.9.17.5	cevC6xxxNtcStm1mm
.1.3.6.1.4.1.9.12.3.1.9.17.8	cevC6xxxNtcDs3
.1.3.6.1.4.1.9.12.3.1.10.168	cevPortGigBaseLX
.1.3.6.1.4.1.9.12.3.1.9.17.7	cevC6xxxSlcDmt16
.1.3.6.1.4.1.9.12.3.1.10.169	cevPortGigBaseSX
.1.3.6.1.4.1.9.12.3.1.9.55.38	cevModuleCrs1DRPB
.1.3.6.1.4.1.9.12.3.1.9.20.3	cevCat8500FeatureAsic
.1.3.6.1.4.1.9.12.3.1.9.20.4	cevCat8500FeaturePVC
.1.3.6.1.4.1.9.12.3.1.9.20.1	cevCat8500CpuSwitch
.1.3.6.1.4.1.9.12.3.1.9.20.2	cevCat8500FeatureFpga
.1.3.6.1.4.1.9.12.3.1.9.20.7	cevCat8500FeMMF8p16k
.1.3.6.1.4.1.9.12.3.1.9.20.8	cevCat8500FeMMF8p64k
.1.3.6.1.4.1.9.12.3.1.9.20.5	cevCat8500FeUTP8p16k
.1.3.6.1.4.1.9.12.3.1.9.20.6	cevCat8500FeUTP8p64k
.1.3.6.1.4.1.9.12.3.1.9.20.9	cevCat8500FeUTP16p16k
.1.3.6.1.4.1.9.12.3.1.9.55.42	cevModuleCrs14FabricCard
.1.3.6.1.4.1.9.12.3.1.9.55.29	cevModuleCrs18dS123Fabric
.1.3.6.1.4.1.9.12.3.1.9.55.27	cevModuleCrs1FabricOIMSingleSlot
.1.3.6.1.4.1.9.12.3.1.9.55.28	cevModuleCrs1FabricOIMDualSlot
.1.3.6.1.4.1.9.12.3.1.9.55.33	cevModuleCrs1FccSFEc
.1.3.6.1.4.1.9.12.3.1.9.55.32	cevModuleCrs1FccSc22Ge
.1.3.6.1.4.1.9.12.3.1.9.55.31	cevModuleCrs116dS123Fabric
.1.3.6.1.4.1.9.12.3.1.9.55.30	cevModuleCrs18mS123Fabric
.1.3.6.1.4.1.9.12.3.1.9.55.37	cevModuleCrs1DRPBPlim
.1.3.6.1.4.1.9.12.3.1.9.55.36	cevModuleCrs1OC768CDwdmPlim
.1.3.6.1.4.1.9.12.3.1.9.55.35	cevModuleCrs14OC192CDwdmPlim
.1.3.6.1.4.1.9.12.3.1.9.55.34	cevModuleCrs14x10GeCDwdmPlim
.1.3.6.1.4.1.9.12.3.1.4.30	cevBackplaneUnknown
.1.3.6.1.4.1.9.12.3.1.4.32	cevBackplaneDSC9140K9
.1.3.6.1.4.1.9.12.3.1.4.31	cevBackplaneCat4510
.1.3.6.1.4.1.9.12.3.1.4.38	cevBackplaneMGX8880
.1.3.6.1.4.1.9.12.3.1.4.37	cevBackplaneDSC9216AK9
.1.3.6.1.4.1.9.12.3.1.4.39	cevBackplane6SlotsRCON8850
.1.3.6.1.4.1.9.12.3.1.4.34	cevBackplaneBMGX8950
.1.3.6.1.4.1.9.12.3.1.4.33	cevBackplaneBMGX8850
.1.3.6.1.4.1.9.12.3.1.4.36	cevBackplaneBMGX8830
.1.3.6.1.4.1.9.12.3.1.4.35	cevBackplaneCisco7600
.1.3.6.1.4.1.9.12.3.1.4.20	cevBackplaneONS15530
.1.3.6.1.4.1.9.12.3.1.4.29	cevBackplaneONS15540ESPx
.1.3.6.1.4.1.9.12.3.1.4.28	cevBackplaneDSC9513
.1.3.6.1.4.1.9.12.3.1.4.27	cevBackplaneDSC9509
.1.3.6.1.4.1.9.12.3.1.4.26	cevBackplaneDSC9506
.1.3.6.1.4.1.9.12.3.1.4.25	cevBackplaneCat4506
.1.3.6.1.4.1.9.12.3.1.4.24	cevBackplaneCat4503
.1.3.6.1.4.1.9.12.3.1.4.23	cevBackplaneCat4507
.1.3.6.1.4.1.9.12.3.1.4.10	cevBackplaneMGX8820
.1.3.6.1.4.1.9.12.3.1.4.12	cevBackplaneIGXSes
.1.3.6.1.4.1.9.12.3.1.4.11	cevBackplaneBPXSes
.1.3.6.1.4.1.9.12.3.1.4.14	cevBackplaneCat6500
.1.3.6.1.4.1.9.12.3.1.4.13	cevBackplaneCat6000
.1.3.6.1.4.1.9.12.3.1.4.16	cevBackplaneONS15540Fixed
.1.3.6.1.4.1.9.12.3.1.4.15	cevBackplaneMGX8950
.1.3.6.1.4.1.9.12.3.1.4.18	cevBackplaneCat4006
.1.3.6.1.4.1.9.12.3.1.9.3.4	cevPmCt1Csu
.1.3.6.1.4.1.9.12.3.1.9.3.5	cevPm2ct1Csu
.1.3.6.1.4.1.9.12.3.1.9.3.2	cevPmCpm2e2w
.1.3.6.1.4.1.9.12.3.1.9.3.3	cevPmCpm1e1r2w
.1.3.6.1.4.1.9.12.3.1.9.3.1	cevPmCpm1e2w
.1.3.6.1.4.1.9.12.3.1.9.3.8	cevPmCe1Balanced
.1.3.6.1.4.1.9.12.3.1.9.3.9	cevPm2ce1Balanced
.1.3.6.1.4.1.9.12.3.1.9.3.6	cevPmCt1Dsx1
.1.3.6.1.4.1.9.12.3.1.9.3.7	cevPm2ct1Dsx1
.1.3.6.1.4.1.9.12.3.1.9.43.4	cevGsrPa24Fe
.1.3.6.1.4.1.9.12.3.1.9.23.12	cevModuleCat297024
.1.3.6.1.4.1.9.12.3.1.9.23.10	cevX2931
.1.3.6.1.4.1.9.12.3.1.9.43.2	cevGsrPa1Ge
.1.3.6.1.4.1.9.12.3.1.9.23.15	cevModuleCat296024
.1.3.6.1.4.1.9.12.3.1.9.23.16	cevModuleCat296048
.1.3.6.1.4.1.9.12.3.1.4.52	cevBackplaneN7Kc7010
.1.3.6.1.4.1.9.12.3.1.9.43.3	cevGsrPa3Ge
.1.3.6.1.4.1.9.12.3.1.9.23.13	cevModuleCat297024TS
.1.3.6.1.4.1.9.12.3.1.9.23.14	cevModuleCat297048TS
.1.3.6.1.4.1.9.12.3.1.9.43.1	cevGsrPaUnknown
.1.3.6.1.4.1.9.12.3.1.9.23.18	cevModuleCat2960G48
.1.3.6.1.4.1.9.12.3.1.9.23.17	cevModuleCat2960G24
.1.3.6.1.4.1.9.12.3.1.9.23.19	cevModuleCat296024TT
.1.3.6.1.4.1.9.12.3.1.9.23.20	cevModuleCat296048TT
.1.3.6.1.4.1.9.12.3.1.9.23.21	cevModuleCat29608TC
.1.3.6.1.4.1.9.12.3.1.9.23.22	cevModuleCat2960G8TC
.1.3.6.1.4.1.9.12.3.1.4.42	cevBackplaneDSX9116K9
.1.3.6.1.4.1.9.12	ciscoModules
.1.3.6.1.4.1.9.12.3.1.4.43	cevBackplaneONS15310
.1.3.6.1.4.1.9.12.3.1.4.40	cevBackplane4SlotsRCON8850
.1.3.6.1.4.1.9.12.3.1.4.41	cevBackplane4SlotsRCON8830
.1.3.6.1.4.1.9.12.3.1.3.290	cevChassis9004
.1.3.6.1.4.1.9.12.3.1.3.293	cevChassisCat295012G
.1.3.6.1.4.1.9.12.3.1.3.295	cevChassisCat295048G
.1.3.6.1.4.1.9.12.3.1.3.294	cevChassisCat295024G
.1.3.6.1.4.1.9.12.3.1.3.299	cevChassisCE560AV
.1.3.6.1.4.1.9.12.3.1.3.298	cevChassisCE507AV
.1.3.6.1.4.1.9.12.3.1.9.5.133	cevCpu7201Npeg2
.1.3.6.1.4.1.9.12.3.1.9.5.132	cevCpuCat6kVsS72010G
.1.3.6.1.4.1.9.12.3.1.9.5.134	cevCpuSamiDc8548H
.1.3.6.1.4.1.9.12.3.1.9.5.131	cevCpuCat6kVsF6kMsfc3
.1.3.6.1.4.1.9.12.3.1.9.5.138	cevCpuBroadcomSB1A
.1.3.6.1.4.1.9.12.3.1.3.282	cevChassis1760
.1.3.6.1.4.1.9.12.3.1.3.280	cevChassis3725
.1.3.6.1.4.1.9.12.3.1.3.285	cevChassis2611M
