.1.3.6.1.4.1.9.1.512	catalyst375048
.1.3.6.1.4.1.9.1.513	catalyst375024TS
.1.3.6.1.4.1.9.1.511	catalyst375024
.1.3.6.1.4.1.9.1.516	catalyst37xxStack
.1.3.6.1.4.1.9.1.517	ciscoGSS
.1.3.6.1.4.1.9.1.514	catalyst375024T
.1.3.6.1.4.1.9.1.325	catalyst295024C
.1.3.6.1.4.1.9.1.326	cisco1751
.1.3.6.1.4.1.9.1.120	ciscoPro1604
.1.3.6.1.4.1.9.1.518	ciscoPrimaryGSSM
.1.3.6.1.4.1.9.1.323	catalyst295012
.1.3.6.1.4.1.9.1.324	catalyst295024
.1.3.6.1.4.1.9.1.519	ciscoStandbyGSSM
.1.3.6.1.4.1.9.1.329	cisco626
.1.3.6.1.4.1.9.1.123	ciscoPro3620
.1.3.6.1.4.1.9.1.124	ciscoPro3640
.1.3.6.1.4.1.9.1.122	cisco3620
.1.3.6.1.4.1.9.1.128	cisco775
.1.3.6.1.4.1.9.1.127	cisco772
.1.3.6.1.4.1.9.1.126	cisco771
.1.3.6.1.4.1.9.1.717	catalyst296048TT
.1.3.6.1.4.1.9.1.716	catalyst296024TT
.1.3.6.1.4.1.9.1.125	cisco7204
.1.3.6.1.4.1.9.1.322	cisco826
.1.3.6.1.4.1.9.1.321	cisco826QuadV
.1.3.6.1.4.1.9.1.320	cisco2651
.1.3.6.1.4.1.9.1.129	cisco776
.1.3.6.1.4.1.9.1.711	ciscoNMCUEEC
.1.3.6.1.4.1.9.1.710	ciscoMPX
.1.3.6.1.4.1.9.1.715	ciscoME6340DCB
.1.3.6.1.4.1.9.1.714	ciscoME6340DCA
.1.3.6.1.4.1.9.1.713	ciscoME6340ACA
.1.3.6.1.4.1.9.1.712	ciscoWLSE1132
.1.3.6.1.4.1.9.1.521	ciscoDSC9216K9
.1.3.6.1.4.1.9.1.522	cat6500FirewallSm
.1.3.6.1.4.1.9.1.524	ciscoCSM
.1.3.6.1.4.1.9.1.525	ciscoAIRAP1210
.1.3.6.1.4.1.9.1.527	catalyst297024
.1.3.6.1.4.1.9.1.528	cisco7613
.1.3.6.1.4.1.9.1.312	cat4840gL3
.1.3.6.1.4.1.9.1.313	ciscoAS5350
.1.3.6.1.4.1.9.1.314	cisco7750
.1.3.6.1.4.1.9.1.315	ciscoMGX8950
.1.3.6.1.4.1.9.1.316	ciscoUBR925
.1.3.6.1.4.1.9.1.110	cisco3640
.1.3.6.1.4.1.9.1.317	ciscoUBR10012
.1.3.6.1.4.1.9.1.111	ciscoCatalyst3500
.1.3.6.1.4.1.9.1.112	ciscoWSX3011
.1.3.6.1.4.1.9.1.318	catalyst4kGateway
.1.3.6.1.4.1.9.1.113	cisco1601
.1.3.6.1.4.1.9.1.319	cisco2650
.1.3.6.1.4.1.9.1.115	cisco1603
.1.3.6.1.4.1.9.1.727	catalystsExpress50012TC
.1.3.6.1.4.1.9.1.114	cisco1602
.1.3.6.1.4.1.9.1.117	ciscoPro1601
.1.3.6.1.4.1.9.1.116	cisco1604
.1.3.6.1.4.1.9.1.119	ciscoPro1603
.1.3.6.1.4.1.9.1.118	ciscoPro1602
.1.3.6.1.4.1.9.1.311	ciscoMGX8240
.1.3.6.1.4.1.9.1.310	cat6509Sp
.1.3.6.1.4.1.9.1.724	catalystsExpress50024TT
.1.3.6.1.4.1.9.1.520	ciscoMWR1941DC
.1.3.6.1.4.1.9.1.726	catalystsExpress50024PC
.1.3.6.1.4.1.9.1.725	catalystsExpress50024LC
.1.3.6.1.4.1.9.1.204	cisco7576
.1.3.6.1.4.1.9.1.205	cisco3660
.1.3.6.1.4.1.9.1.202	catalyst8540msr
.1.3.6.1.4.1.9.1.203	catalyst8540csr
.1.3.6.1.4.1.9.1.208	cisco2620
.1.3.6.1.4.1.9.1.209	cisco2621
.1.3.6.1.4.1.9.1.206	cisco1401
.1.3.6.1.4.1.9.1.307	ciscoCVA124
.1.3.6.1.4.1.9.1.308	ciscoAs5850
.1.3.6.1.4.1.9.1.102	cisco765
.1.3.6.1.4.1.9.1.305	ciscoMGX8250
.1.3.6.1.4.1.9.1.306	ciscoCVA122
.1.3.6.1.4.1.9.1.303	cisco7750Ssp80
.1.3.6.1.4.1.9.1.304	ciscoMGX8230
.1.3.6.1.4.1.9.1.301	catalyst6kMsfc2
.1.3.6.1.4.1.9.1.302	cisco7750Mrp200
.1.3.6.1.4.1.9.1.300	cat4232L3
.1.3.6.1.4.1.9.1.109	ciscoAS5200
.1.3.6.1.4.1.9.1.108	cisco7206
.1.3.6.1.4.1.9.1.107	ciscoLS1010
.1.3.6.1.4.1.9.1.106	ciscoPro2524
.1.3.6.1.4.1.9.1.105	ciscoPro2522
.1.3.6.1.4.1.9.1.104	ciscoPro2520
.1.3.6.1.4.1.9.1.103	cisco766
.1.3.6.1.4.1.9.1.201	cisco1720
.1.3.6.1.4.1.9.1.200	cisco1710
.1.3.6.1.4.1.9.1.503	cat4503
.1.3.6.1.4.1.9.1.409	ciscoCe507
.1.3.6.1.4.1.9.1.504	ciscoCE7305
.1.3.6.1.4.1.9.1.505	ciscoCE510
.1.3.6.1.4.1.9.1.500	ciscoSOHO96
.1.3.6.1.4.1.9.1.501	cat4507
.1.3.6.1.4.1.9.1.502	cat4506
.1.3.6.1.4.1.9.1.400	ciscoWSC6513
.1.3.6.1.4.1.9.1.401	cisco7603
.1.3.6.1.4.1.9.1.402	cisco7606
.1.3.6.1.4.1.9.1.403	cisco7401ASR
.1.3.6.1.4.1.9.1.507	ciscoAIRAP1100
.1.3.6.1.4.1.9.1.404	ciscoVG248
.1.3.6.1.4.1.9.1.508	catalyst2955S12
.1.3.6.1.4.1.9.1.405	ciscoHSE
.1.3.6.1.4.1.9.1.509	cisco7609
.1.3.6.1.4.1.9.1.406	ciscoONS15540ESP
.1.3.6.1.4.1.9.1.407	ciscoSN5420
.1.3.6.1.4.1.9.1.709	ciscoWLSEs20
.1.3.6.1.4.1.9.1.601	ciscoCe7326K9
.1.3.6.1.4.1.9.1.600	ciscoCe7306K9
.1.3.6.1.4.1.9.1.706	catalyst6kMsfc2a
.1.3.6.1.4.1.9.1.708	ciscoCe611K9
.1.3.6.1.4.1.9.1.607	ciscoBMGX8830Pxm1E
.1.3.6.1.4.1.9.1.606	ciscoBMGX8830Pxm45
.1.3.6.1.4.1.9.1.609	ciscoBMGX8850Pxm1E
.1.3.6.1.4.1.9.1.608	ciscoBMGX8850Pxm45
.1.3.6.1.4.1.9.1.369	catalyst2924LREXL
.1.3.6.1.4.1.9.1.368	catalyst355012T
.1.3.6.1.4.1.9.1.367	catalyst355048
.1.3.6.1.4.1.9.1.229	ciscoMGX8830
.1.3.6.1.4.1.9.1.228	ciscoMGX8850
.1.3.6.1.4.1.9.1.227	ciscoPIXFirewall
.1.3.6.1.4.1.9.1.226	ciscoFasthub100
.1.3.6.1.4.1.9.1.750	ciscoSpaOc48posSfp
.1.3.6.1.4.1.9.1.225	cisco1548M
.1.3.6.1.4.1.9.1.224	cisco1538M
.1.3.6.1.4.1.9.1.754	ciscoNMAONK9
.1.3.6.1.4.1.9.1.222	cisco7206VXR
.1.3.6.1.4.1.9.1.755	ciscoNMAONWS
.1.3.6.1.4.1.9.1.223	cisco7204VXR
.1.3.6.1.4.1.9.1.752	ciscoWLSE1133
.1.3.6.1.4.1.9.1.220	catalyst2924MXL
.1.3.6.1.4.1.9.1.221	catalyst2912MfXL
.1.3.6.1.4.1.9.1.619	cisco2801
.1.3.6.1.4.1.9.1.759	ciscoCe512K9
.1.3.6.1.4.1.9.1.756	ciscoNMAONAPS
.1.3.6.1.4.1.9.1.617	catalyst3560G48TS
.1.3.6.1.4.1.9.1.618	ciscoAIRAP1130
.1.3.6.1.4.1.9.1.757	ciscoWae612K9
.1.3.6.1.4.1.9.1.615	catalyst3560G24TS
.1.3.6.1.4.1.9.1.361	ciscoContentEngine
.1.3.6.1.4.1.9.1.362	ciscoIAD2420
.1.3.6.1.4.1.9.1.616	catalyst3560G48PS
.1.3.6.1.4.1.9.1.613	ciscoCRS16S
.1.3.6.1.4.1.9.1.614	catalyst3560G24PS
.1.3.6.1.4.1.9.1.360	ciscoVPS1110
.1.3.6.1.4.1.9.1.365	ciscoDPA7630
.1.3.6.1.4.1.9.1.611	ciscoNetworkRegistrar
.1.3.6.1.4.1.9.1.612	ciscoCe501K9
.1.3.6.1.4.1.9.1.366	catalyst355024
.1.3.6.1.4.1.9.1.363	cisco677i
.1.3.6.1.4.1.9.1.364	cisco674
.1.3.6.1.4.1.9.1.357	cisco7150Dualt3
.1.3.6.1.4.1.9.1.356	cisco7150Octt1
.1.3.6.1.4.1.9.1.359	catalyst2950t24
.1.3.6.1.4.1.9.1.358	ciscoOlympus
.1.3.6.1.4.1.9.1.218	catalyst2924CXLv
.1.3.6.1.4.1.9.1.217	catalyst2924XLv
.1.3.6.1.4.1.9.1.219	catalyst2912XL
.1.3.6.1.4.1.9.1.214	cisco803
.1.3.6.1.4.1.9.1.760	ciscoFe512K9
.1.3.6.1.4.1.9.1.213	cisco802
.1.3.6.1.4.1.9.1.762	ciscoFe612K9
.1.3.6.1.4.1.9.1.216	cisco1750
.1.3.6.1.4.1.9.1.215	cisco804
.1.3.6.1.4.1.9.1.761	ciscoCe612K9
