.1.3.6.1.4.1.2636.1.1.3.3.6	jnxSubmoduleT640
.1.3.6.1.4.1.2636.1.1.3.3.5	jnxSubmoduleM5
.1.3.6.1.4.1.2636.1.1.3.3.8	jnxSubmoduleM40e
.1.3.6.1.4.1.2636.1.1.3.3.7	jnxSubmoduleT320
.1.3.6.1.4.1.2636.1.1.2.3.13.1	jnxJ2300MediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.3.1	jnxSubmoduleM40
.1.3.6.1.4.1.2636.1.1.3.3.2	jnxSubmoduleM20
.1.3.6.1.4.1.2636.1.1.3.3.3	jnxSubmoduleM160
.1.3.6.1.4.1.2636.1.1.3.3.4	jnxSubmoduleM10
.1.3.6.1.4.1.2636.1.1.2.2.16.1	jnxIRMSlotFPC
.1.3.6.1.4.1.2636.1.1.2.2.14.1	jnxJ4300SlotFPC
.1.3.6.1.4.1.2636.1.1.2.2.14.2	jnxJ4300SlotRE
.1.3.6.1.4.1.2636.1.1.2.2.16.3	jnxIRMSlotRE
.1.3.6.1.4.1.2636.1.1.2.2.16.2	jnxIRMSlotCFEB
.1.3.6.1.4.1.2636.1.1.2.2.16.4	jnxIRMSlotPower
.1.3.6.1.4.1.2636.1.1.3.2.6.3	jnxT640HM
.1.3.6.1.4.1.2636.1.1.3.2.6.2	jnxT640SIB
.1.3.6.1.4.1.2636.1.1.3.2.6.5	jnxT640Power
.1.3.6.1.4.1.2636.1.1.3.2.6.4	jnxT640SCG
.1.3.6.1.4.1.2636.1.1.3.2.6.1	jnxT640FPC
.1.3.6.1.4.1.2636.1.1.3.2.6.7	jnxT640CB
.1.3.6.1.4.1.2636.1.1.3.2.6.6	jnxT640Fan
.1.3.6.1.4.1.2636.1.1.3.2.6.9	jnxT640CIP
.1.3.6.1.4.1.2636.1.1.3.2.6.8	jnxT640FPB
.1.3.6.1.4.1.2636.1.1.3.3.10.2	jnxM7iPIC
.1.3.6.1.4.1.2636.1.1.3.2.2.6	jnxM20FrontPanel
.1.3.6.1.4.1.2636.1.1.3.2.2.4	jnxM20Power
.1.3.6.1.4.1.2636.1.1.3.2.2.5	jnxM20Fan
.1.3.6.1.4.1.2636.1.1.3.2.2.2	jnxM20SSB
.1.3.6.1.4.1.2636.1.1.3.2.2.3	jnxM20RE
.1.3.6.1.4.1.2636.1.1.3.3.12.1.4	jnxPicAtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.3.12.1.3	jnxPicDualChDs3toDs0
.1.3.6.1.4.1.2636.1.1.3.3.12.1.2	jnxPicChDs3toDs0
.1.3.6.1.4.1.2636.1.1.3.3.12.1.1	jnxPicType3TenGigEther
.1.3.6.1.4.1.2636.1.1.3.3.12.1.7	jnxPicChOc12toDs3
.1.3.6.1.4.1.2636.1.1.3.3.12.1.8	jnxPicCrypto800
.1.3.6.1.4.1.2636.1.1.3.3.12.1.5	jnxPicAtmOc12
.1.3.6.1.4.1.2636.1.1.3.3.12.1.6	jnxPicM7iTunnel
.1.3.6.1.4.1.2636.1.1.3.3.12.1.9	jnxPicType2DualAtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.2.2.1	jnxM20FPC
.1.3.6.1.4.1.2636.1.1.3.3.8.5.9	jnxM40eQuadEther
.1.3.6.1.4.1.2636.1.1.3.3.8.5.8	jnxM40eChOc12toDs3
.1.3.6.1.4.1.2636.1.1.3.3.8.5.5	jnxM40eQuadE3
.1.3.6.1.4.1.2636.1.1.3.3.8.5.4	jnxM40eQuadT3
.1.3.6.1.4.1.2636.1.1.3.3.8.5.7	jnxM40eAtmOc12
.1.3.6.1.4.1.2636.1.1.3.3.8.5.6	jnxM40eDualAtmOc3
.1.3.6.1.4.1.2636.1.1.3.3.8.5.2	jnxM40eSonetOc12
.1.3.6.1.4.1.2636.1.1.3.3.8.5.3	jnxM40eGigEther
.1.3.6.1.4.1.2636.1.1.3.3.8.5.1	jnxM40eQuadSonetOc3
.1.3.6.1.4.1.2636.1.1.1.4.16	jnxProductVariationIRM
.1.3.6.1.4.1.2636.1.1.1.4.17	jnxProductVariationTX
.1.3.6.1.4.1.2636.1.1.1.4.11	jnxProductVariationM10i
.1.3.6.1.4.1.2636.1.1.1.4.10	jnxProductVariationM7i
.1.3.6.1.4.1.2636.1.1.3.3.7.2.8	jnxT320AtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.3.7.4.7	jnxT320NX1GigEther
.1.3.6.1.4.1.2636.1.1.3.3.7.4.6	jnxT320TenGigEther
.1.3.6.1.4.1.2636.1.1.3.3.3.4.1	jnxM160SonetOc192Sr
